Agency,Platform,Url,Date_Sampled,Likes_Followers_Visits_Downloads
DSNY,YouTube,http://www.youtube.com/nycrecyclemore,2011-08-08,
Materials for the Arts,YouTube,http://www.youtube.com/user/MaterialsForTheArts,2011-08-08,
,nyc.gov,2800000,2011-10-04,
Mayor's Fund,Youtube,http://www.youtube.com/mayorsfundnyc,2011-08-08,
MOAE,YouTube,http://www.youtube.com/YouCanTooNYC,2011-08-08,
NYC Gov,YouTube,http://www.youtube.com/nycgov,2011-08-08,
NYC Water,Youtube,http://www.youtube.com/nycwater,2011-08-08,
Veteran's Affairs,Youtube,http://www.youtube.com/channel/UCi6IvOszIb3hHPMUsaNKyXA,2011-08-08,
DRIS,YouTube,http://www.youtube.com/nycdeptofrecords,2011-08-08,
TLC,Facebook,http://www.facebook.com/pages/NYC-Taxi-and-Limousine-Commission/101679939900978?v=wall,2011-08-08,417
nycgov,Google+,https://plus.google.com/u/0/b/104030911277642419611/104030911277642419611/posts/p/pub,2011-08-08,
TOTAL,TOTAL,TOTAL,2011-08-08,1365840
DOH,Android,Condom Finder,2011-09-22,
DOT,Android,You The Man,2011-09-22,
MOME,Android,MiNY Venor app,2011-09-22,
DOT,Broadcastr,,2011-09-22,
DPR,Broadcastr,http://beta.broadcastr.com/Echo.html?audioId=670026-4001,2011-09-22,
ENDHT,Facebook,http://www.facebook.com/pages/NYC-Lets-End-Human-Trafficking/125730490795659?sk=wall,2011-09-22,3
VAC,Facebook,https://www.facebook.com/pages/NYC-Voter-Assistance-Commission/110226709012110,2011-09-22,38
PlaNYC,Facebook,http://www.facebook.com/pages/New-York-NY/PlaNYC/160454173971169?ref=ts,2011-09-22,49
DFTA,Facebook,http://www.facebook.com/pages/NYC-Department-for-the-Aging/109028655823590,2011-09-22,105
energyNYC,Facebook,http://www.facebook.com/EnergyNYC?sk=wall,2011-09-22,123
MOIA,Facebook,http://www.facebook.com/ihwnyc,2011-09-22,123
City Store,Facebook,http://www.facebook.com/citystorenyc,2011-09-22,144
OCDV,Facebook,http://www.facebook.com/pages/NYC-Healthy-Relationship-Training-Academy/134637829901065,2011-09-22,152
HIA,Facebook,http://www.facebook.com/pages/New-York-City-Health-Insurance-Link/145920551598,2011-09-22,202
MOPD,Facebook,http://www.facebook.com/pages/New-York-City-Mayors-Office-for-People-with-Disabilities/145237285504681?sk=wall,2011-09-22,206
DOB: UrbanCanvas,Facebook,http://www.facebook.com/NYCurbancanvas,2011-09-22,209
DOT,Facebook,http://www.facebook.com/JanetteSadikKhan,2011-09-22,209
HRA,Facebook,http://www.facebook.com/#!/pages/New-York-NY/NYC-DADS/111504588886342,2011-09-22,210
MOPD,Facebook,http://www.facebook.com/profile.php?id=1570569347,2011-09-22,215
DFTA,Facebook,http://www.facebook.com/timebanksnyc,2011-09-22,234
DOB: Cool Roofs,Facebook,http://www.facebook.com/coolroofs?sk=wall,2011-09-22,241
